Statistical profiling result from isolate-0x140008000-51285-v8.log, (19383 ticks, 12409 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    202    1.0%          /Users/chris/.nvm/versions/node/v20.19.1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
    715    3.7%    3.7%  Builtin: LoadIC_Megamorphic
    458    2.4%    2.4%  Builtin: KeyedLoadIC_Megamorphic
    345    1.8%    1.8%  Builtin: LoadIC
    192    1.0%    1.0%  Builtin: StringAdd_CheckNone
    166    0.9%    0.9%  Builtin: StrictEqual
    154    0.8%    0.8%  Builtin: StoreIC
    152    0.8%    0.8%  Builtin: FindOrderedHashMapEntry
    133    0.7%    0.7%  JS: *dedupeRule /Users/chris/Developer/Ghost/node_modules/postcss-discard-duplicates/dist/index.js:76:20
     94    0.5%    0.5%  JS: *getBinding /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/scope/index.js:824:13
     89    0.5%    0.5%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/helpers/createMappingsSerializer.js:36:9
     87    0.4%    0.5%  Builtin: GetProperty
     85    0.4%    0.4%  JS: *wasm-function[1]
     74    0.4%    0.4%  Builtin: WeakMapLookupHashIndex
     67    0.3%    0.3%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/helpers/streamAndGetSourceAndMap.js:47:3
     65    0.3%    0.3%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     57    0.3%    0.3%  Builtin: StringSubstring
     57    0.3%    0.3%  Builtin: StrictEqual_Baseline
     50    0.3%    0.3%  Builtin: ArrayIteratorPrototypeNext
     48    0.2%    0.3%  JS: *call /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/context.js:31:14
     44    0.2%    0.2%  JS: *pushContext /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/context.js:193:21
     44    0.2%    0.2%  Builtin: StringEqual
     42    0.2%    0.2%  JS: *print /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:354:8
     42    0.2%    0.2%  Builtin: KeyedStoreIC_Megamorphic
     41    0.2%    0.2%  JS: *_mark /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/buffer.js:205:8
     40    0.2%    0.2%  Builtin: SetPrototypeAdd
     40    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
     39    0.2%    0.2%  JS: *visitQueue /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/context.js:71:13
     39    0.2%    0.2%  JS: *readMappings /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/helpers/readMappings.js:37:22
     38    0.2%    0.2%  Builtin: SetDataProperties
     37    0.2%    0.2%  JS: *join node:path:1262:7
     34    0.2%    0.2%  JS: *visit /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/context.js:107:8
     33    0.2%    0.2%  Builtin: RecordWriteSaveFP
